,0,1,2,3,4,5
3347647271,429873151,582086142,,,,
429873151,3347647271,468770136,28818078,,,
507399241,507399300,472465174,28818078,,,
507399300,507399241,582086142,507399308,,,
472465174,507399241,28818074,,,,
28818074,472465174,1971332860,,,,
2804115792,2804116736,,,,,
2804116736,2804115792,2804116735,2804116764,,,
2804116735,2804116736,507395649,2804116712,,,
507395649,2804116735,2749792005,1230200534,3966506142,,
803642942,508472784,,,,,
508472784,803642942,506698750,803642961,1324170841,,
508501330,508501276,1923402200,,,,
508501276,508501330,2224715854,508583177,,,
28809633,28809634,508570709,2653398820,,,
28809634,28809633,508558077,1640494259,508495354,,
2653398820,506702008,1923402219,28809633,507247758,,
506702008,2653398820,,,,,
508558077,28809634,1923402219,,,,
508570697,508570709,,,,,
508570709,508570697,28809632,28809633,,,
28809637,2385046851,529603753,28809636,,,
2385046851,28809637,2385046844,2385046857,,,
2385046844,2385046851,28809639,2385046841,,,
28809639,2385046844,2385046832,516432821,,,
512025020,512025024,512025044,581925595,,,
512025024,512025020,28818078,512025044,,,
28818078,512025024,507399241,429873151,,,
512025044,512025024,512025020,507399308,,,
279198004,1026320801,3423498807,,,,
1026320801,279198004,565592116,2318123741,,,
565592116,1026320801,565592114,565592115,,,
28818057,1971332860,2101612898,,,,
1971332860,28818057,28818074,1971332859,,,
506458004,2101612913,506457983,28818050,,,
2101612913,506458004,28818053,2101612910,,,
469479982,28818094,583820879,28818092,,,
28818094,469479982,469479980,506886004,,,
1094367918,256219064,409717376,,,,
256219064,1094367918,513620773,,,,
409717376,512438968,1094367918,583820814,468770153,,
512438968,409717376,1094367907,,,,
2984069360,2119871966,492750201,,,,
2119871966,2984069360,513626094,2119871976,,,
513626094,2119871966,1121917614,1678059030,2651699534,,
1121917614,513626094,282539345,,,,
2977879960,3964585814,512544049,,,,
3964585814,2977879960,2408664896,4622436663,,,
2408664896,3964585814,2428911400,4622442554,,,
2428911400,2408664896,2366269545,2428911423,,,
2366269545,2428911400,2366269544,2366269547,,,
2366269544,2366269545,3964585808,2366269546,2366269540,,
3964585808,2366269544,512545527,,,,
512546980,512546981,1184791867,512544089,,,
512546981,512546980,565592112,529005150,,,
513620773,513620774,256219064,583846977,518433855,,
513620774,513620773,513620780,,,,
28814435,2978833895,906942866,1678059000,518820587,,
2978833895,28814435,907002784,,,,
513626112,514707754,2651699534,2977879957,5194423699,,
514707754,513626112,2984069363,,,,
279008275,279008271,538384740,279197944,1037000313,,
279008271,279008275,1576017085,279197944,,,
266711175,540240744,2105185901,266711174,3018137504,,
540240744,266711175,691739640,540308923,1156375722,,
514356255,569659203,2010722458,,,,
569659203,514356255,569659130,,,,
961477200,1564882199,961477126,3832179713,,,
1564882199,961477200,514348979,1564882202,,,
514348979,1564882199,1564882225,,,,
