,0,1,2,3,4,5
1975821880,537994445,2675070799,,,,
515628390,506460654,533297356,537994445,,,
1037000313,446215724,279197944,279008275,,,
446215724,1037000313,2479088050,,,,
506309948,515768291,506309958,515768188,,,
515768291,506309948,528713628,2013385803,,,
28818196,28818195,446215642,529603753,2978106827,,
28818195,28818196,529603748,,,,
446215673,1487130329,1866829388,529888776,,,
1487130329,446215673,3922266554,,,,
516395430,516395416,516395423,,,,
516395416,516395430,516395423,539546543,1288707589,,
516395423,516395416,516395430,486120727,,,
539546543,516395416,540137671,539546497,,,
540137671,539546543,1224969569,539548279,,,
768065106,559547131,484256853,,,,
559547131,768065106,559547112,484256838,,,
486120727,2638377887,564824115,516395423,,,
2638377887,486120727,548554902,559547144,,,
486098009,534688298,564161954,564209398,564196887,,
282539330,2978833954,529916107,534677648,529916119,516432821,
2978833954,282539330,2977861415,,,,
446215737,2024738860,446215736,4319690298,,,
2024738860,446215737,2956130533,,,,
446215719,28818253,446215722,702690999,,,
28818253,446215719,534455963,1776891229,534455953,,
517373425,2979730131,2318123723,,,,
2979730131,517373425,535394361,,,,
2318123723,517373425,3423498807,,,,
517712337,517712368,845106909,2862141976,,,
517712368,517712337,517712288,3966506126,,,
517712288,517712368,581942020,845106890,,,
517720374,1928650722,2689027394,517720372,,,
1928650722,517720374,517720352,2871222461,,,
517720403,581942159,2862141909,2964383833,,,
581942159,517720403,1793033084,,,,
1704227929,506317912,1704227933,,,,
517822412,2977861423,516421204,517843245,,,
2977861423,517822412,2978833936,,,,
28818164,437385385,534690694,3653477949,3653477935,,
437385385,28818164,529915267,,,,
534690694,28818164,534690693,528701125,,,
2977861427,514755981,517843245,,,,
3187569064,2202857513,282539309,,,,
2202857513,3187569064,1466717397,,,,
28809604,518433797,3077304608,512439003,583820818,,
518433797,28809604,518433855,,,,
514737845,514745047,2984069352,,,,
514745047,514737845,528210613,282539228,,,
282539229,2984069355,492750201,,,,
2984069355,282539229,2984069352,,,,
506701995,507246996,506701999,507246976,506701981,,
518838483,518838504,1024952818,517822442,,,
518838504,518838483,517825865,533901577,,,
518860213,518860030,1036326143,518860014,,,
518860030,518860213,563895355,518860014,792708539,,
1036326143,518860213,1036326232,,,,
518860014,518860213,518860030,961477126,,,
518878363,624516536,3187569095,3158278099,,,
624516536,518878363,518878411,,,,
528184298,518878482,528184281,1446139911,,,
518878482,528184298,528184304,2914200364,,,
518926888,518926915,528673712,506317912,,,
518926915,518926888,528673735,,,,
255903811,255903803,829952199,1033801022,,,
255903803,255903811,1181222493,4339915595,,,
1033801022,569659119,255903811,,,,
569659119,1033801022,1132103322,518860141,,,
564142809,538449982,528171593,564142586,2915609261,1548466066,
538449982,564142809,296594913,597336135,,,
296594913,538449982,2914200238,2914200282,1512683283,2914200271,2914200234
528143702,518860141,2396085351,922304968,1132167580,,
518860141,528143702,539585286,569659119,944024477,,
564129227,539378256,528150854,,,,
539378256,564129227,539378276,564123986,,,
528150854,1185602375,564129227,,,,
1185602375,528150854,528143712,1185602361,,,
528143712,1185602375,4180440766,610433814,,,
528150905,528143700,3210881362,,,,
528143700,528150905,1132167580,922370153,,,
1132167580,528143700,528143702,,,,
528159387,528159434,1127673685,1515177317,528159362,,
528159434,528159387,1515176385,1515176680,,,
1515176385,528159434,1515176505,1515176196,1515175937,,
1059703772,528171593,528171615,,,,
528171593,1059703772,564142809,471928333,,,
309380341,579927590,282539287,,,,
579927590,309380341,309380359,579942008,,,
528184281,2914200360,528184304,528184298,,,
2914200360,528184281,568020910,,,,
528184304,528184281,518878482,518878436,,,
528206166,528206182,1679230947,534455945,28814416,,
528206182,528206166,1679230947,282539228,,,
528226175,528226148,528226182,,,,
528226148,528226175,28809632,529603758,,,
279189649,446215621,2984038177,279189664,,,
28814446,2978833877,28814449,514755981,534664299,,
2978833877,28814446,518835749,28814451,,,
518835749,2978833877,28814451,1024952818,,,
28814451,518835749,517825865,950326610,2978833877,,
529916107,282539330,529916119,529603740,,,
528701125,534690693,533904857,528701161,534690694,,
534690693,528701125,534690692,534690694,529913125,,
506698743,1928650603,528729770,506698791,1928650610,1928650605,2937875649
1928650603,506698743,1928650605,,,,
528713628,515768291,528714120,,,,
518820587,950326725,1154927299,28814435,,,
950326725,518820587,2987178580,,,,
528720887,528720913,506698825,506309984,,,
528720913,528720887,515768188,528713631,,,
515768188,528720913,506309984,506309948,,,
528720933,409717378,506309970,506309958,,,
506309970,528720933,506309958,506309984,,,
506309958,528720933,506309948,506309970,,,
529005140,529005150,2898813781,1026320884,538379878,,
529005150,529005140,1184791867,512546981,,,
2898813781,529005140,518926945,,,,
1184791867,512546980,529005150,3067162917,,,
469479995,1178987869,506985932,3206610400,,,
1178987869,469479995,529392566,1178988022,,,
529392566,1178987869,4031618833,529392567,,,
529400661,1193321790,1193255016,1193321393,3003491915,,
1193321790,529400661,529400719,,,,
3653477949,28818164,529603739,,,,
529603748,2978833988,28818195,28809639,2978833981,,
2978833988,529603748,2977861394,,,,
529893920,529893925,486098058,528691333,,,
529893925,529893920,4113505986,,,,
446215642,28818196,2978106829,2978107439,508583177,,
529897016,486098060,529897013,529897017,,,
486098060,529897016,533903848,529897017,,,
533903848,486098060,534690687,,,,
529897017,486098060,2978106768,529897016,,,
528226182,508501276,528226175,,,,
508583177,508501276,446215642,,,,
529901436,2978107439,529385883,529897013,,,
2978107439,529901436,446215642,,,,
529385883,529901436,529385882,529888776,,,
534681981,529913120,3653478011,,,,
529913120,534681981,529913121,529913125,529603739,,
529913121,529913120,529913108,529603740,529913123,,
529913108,529913121,529913123,,,,
529603739,529915267,529913120,529916119,529603740,3653477949,
529915267,529603739,437385385,529916131,529915268,,
529916119,529916107,529603739,282539330,529916131,,
2923922894,1858172112,529920415,,,,
1858172112,2923922894,566306010,,,,
28818120,529920415,700944194,,,,
529920415,28818120,2923922894,,,,
282539473,282539474,3607821411,,,,
282539474,282539473,3607821401,,,,
282539407,28818119,532170110,282539394,529950931,,
28818119,282539407,700944194,,,,
529931628,529931641,529931671,671235952,,,
529931641,529931628,529931648,532170110,,,
529931671,742870583,529931628,529931668,,,
742870583,529931671,671235960,,,,
532170110,282539407,532192278,529931641,,,
529950931,529931648,282539407,,,,
529931648,529950931,529931656,529931641,,,
531236133,531236144,484242653,1070735076,,,
531236144,531236133,529893927,539373968,539553174,,
538384740,279008275,1837284156,,,,
279197989,512024707,1934286456,279191769,1837284140,726662271,
512024707,279197989,279012689,2899487003,532145013,,
279010048,532144808,279010051,1423188756,,,
532144808,279010048,279189668,532144559,2684220149,,
532144917,1846857149,532144869,2396116115,,,
1846857149,532144917,2396116116,532144437,3877006451,,
532159040,2912608554,532159012,2319361137,,,
2912608554,532159040,532159053,,,,
532163580,1962746878,1654044432,532163697,2428911444,,
1962746878,532163580,534455952,,,,
1654044432,532163580,28814403,1654044434,,,
1654044446,1654044434,914437767,2987175254,,,
532205104,2428911444,532192278,,,,
2428911444,532205104,532163580,,,,
532179743,28814385,532179726,532192493,,,
28814385,532179743,550187677,2905535053,2905535081,,
28814394,532185335,532192493,28814396,,,
532185335,28814394,282539384,28814396,,,
532192278,532192364,532170110,532205104,,,
532192364,532192278,532192460,,,,
532192460,532192364,532213490,,,,
532197702,532213473,532226468,,,,
532213473,532197702,532226468,,,,
532179726,532179743,,,,,
532226468,532213473,532197702,2619025385,,,
1973474948,28809630,507247000,1973474965,,,
409717377,507247000,544544010,1763405261,1423269120,,
532144456,532144485,532144437,517236938,,,
532144437,532144456,1846857149,,,,
532144833,532144869,446215732,,,,
532144869,532144833,532144917,,,,
533896766,529919028,1190929884,534449469,,,
1257863418,3250824213,529916131,533901352,,,
3250824213,1257863418,533901577,,,,
533904857,528701125,528701161,534690689,534690692,,
529916099,28818210,2978833981,3660969541,2978833957,,
28818210,529916099,533904863,,,,
468781357,472463963,28809597,,,,
472463963,468781357,28809589,,,,
3077304609,409717363,1943818236,,,,
513620781,672833432,546271668,513620780,,,
672833432,513620781,506885998,,,,
534444645,28818088,472465169,,,,
28818088,534444645,2021184557,,,,
472465169,534444645,2062630292,,,,
1190929884,533896766,533896770,,,,
2979389044,534451354,534451356,,,,
534668848,534668921,906964728,534669123,,,
534668921,534668848,2979387718,534669116,,,
534669116,534669123,534668921,28818129,,,
534669123,534669116,534668848,28814433,,,
2979387711,534455945,2979387718,2979387714,,,
534455945,2979387711,534451362,528206166,,,
2979387718,534668921,2979387714,2979387711,,,
529916131,529915267,533901498,1257863418,529916119,,
534690687,486098058,533903848,,,,
534690692,534690689,534690693,529913123,533904857,,
534690689,534690692,533904863,533904857,,,
535390045,535390050,279189642,574312409,,,
535390050,535390045,535390054,535390059,,,
535390054,535390050,,,,,
535394361,2909350651,2909350658,2979730131,,,
2909350651,535394361,535394389,2909350648,,,
2319361137,534455953,532159040,,,,
446215722,446215719,514737851,1776891238,,,
279010029,531322525,536758709,2299863995,2760784326,,
531322525,279010029,279197944,,,,
1960231251,1763405266,536771030,1960231249,,,
536771030,1960231251,536764342,,,,
536764429,536770999,2938846459,536764375,,,
536770999,536764429,536764508,,,,
536764342,536764508,536774309,536771030,,,
536764508,536764342,536770999,,,,
2928908939,279012688,2928908942,,,,
279012688,2928908939,2980005958,,,,
537528682,3169602525,2760784339,2430724183,,,
3169602525,537528682,3169602528,,,,
446215730,537992961,537528670,533297356,2430724183,,
537992961,446215730,446215725,,,,
537619361,537619480,3073675990,2994632767,,,
537619480,537619361,668065159,,,,
668065159,537619480,668046992,,,,
537623306,2979792988,3018620498,690598927,,,
2979792988,537623306,537623338,,,,
537623338,2979792988,686807571,540225123,,,
538163898,538383612,538384734,538770001,,,
538383612,538163898,2977715324,,,,
706302891,282539254,706302898,538431920,,,
529931656,558985253,529931648,529931668,,,
558985253,529931656,1440340125,,,,
538466549,282539256,676808372,676808370,,,
676796475,282539263,676796486,676796464,,,
676796486,676796475,518878544,676796481,,,
518878544,676796486,2914200364,518878541,,,
2914200364,518878544,518878482,,,,
539373995,2418679857,446215657,539546605,,,
2418679857,539373995,1868219773,,,,
529893927,531236144,4113505987,,,,
610433814,4289414675,2026360991,528143712,,,
4289414675,610433814,539376642,4289414680,,,
539378276,539378256,3688282762,,,,
539585286,518860141,539379143,,,,
528143708,3217780605,539382974,528143705,,,
3217780605,528143708,1562388703,,,,
539380287,539382974,539380290,539379143,,,
539382974,539380287,528143708,4224609852,,,
539380290,539380287,539380293,,,,
1037648877,1623394599,,,,,
1623394599,1037648877,1036369724,,,,
539380297,1132103390,1029757866,539378286,1719034386,,
1132103390,539380297,1132103322,,,,
1371072387,539384064,1371072379,564137064,,,
539384064,1371072387,3210881362,1371072379,,,
539384067,539384070,564137064,,,,
539384070,539384067,539384075,,,,
3210881362,539384064,528150905,,,,
539543859,559554692,3938145802,,,,
559554692,539543859,539543864,,,,
539543864,539543866,559554692,,,,
539543866,539543864,539546497,446215657,,,
539546605,539546497,539373980,539373995,,,
539546497,539546605,539543866,539546543,539546424,,
539548279,3938145802,540137671,446215681,,,
3938145802,539548279,539543859,,,,
539579658,610372392,539579726,,,,
610372392,539579658,766788242,,,,
539579726,539579658,539384075,,,,
1224969569,540137671,540137673,,,,
4481200995,548554940,540137673,,,,
548554940,4481200995,548554969,548554952,,,
548554969,548554940,564824115,548554883,,,
564824115,548554969,564824158,486120727,,,
540225123,540225126,2481095548,537623338,,,
540225126,540225123,540225140,,,,
2481095548,540225123,674932818,2963964633,,,
674932818,2481095548,537623355,,,,
540225140,540225126,540225145,,,,
540225145,540225140,540225161,,,,
1171126163,2958443347,1142024794,2958443364,,,
2958443347,1171126163,2958443340,2958443343,,,
540226705,2986815668,279012700,597340964,,,
2986815668,540226705,2894275002,,,,
2958443343,2958443340,2958443341,2958443347,2958443364,1171125872,
2958443340,2958443343,2651557406,540225175,2958443347,,
691739640,540240744,540240786,,,,
2651557406,2958443340,540240975,2956995242,700030282,,
540308923,3018137504,540241036,540240744,3018137508,,
3018137504,540308923,266711175,,,,
540667767,540667768,3194441040,,,,
540667773,540674547,1640335193,1490124112,,,
540674547,540667773,1490124112,28809453,2964326134,,
3194441040,540667767,28809458,,,,
1640335193,540667773,700060337,,,,
28809453,1490124112,540674547,1640335207,,,
1490124112,28809453,540674547,540667773,687657110,,
28809449,540667776,690592887,540667776,1059462837,,
540667776,28809449,690598927,28809449,,,
690592887,28809449,690592884,,,,
690598927,540667776,537623306,,,,
28809430,429851786,28809429,506457983,,,
540667782,513424613,548381450,28809438,,,
28809429,28809430,429851771,,,,
506457983,506458004,3410617595,28809430,,,
548381450,540667782,28809431,,,,
541991752,541991745,28809627,,,,
541991745,541991752,548525078,28809626,,,
541993204,541991759,,,,,
541991759,541993204,,,,,
540226691,726653625,2894273587,2894275002,2894275007,,
726653625,540226691,279012689,,,,
3319502109,506318041,4467130481,,,,
540137673,548554952,1224969569,4481200995,,,
548554952,540137673,548554883,548554940,,,
548554883,548554952,548554902,548554969,,,
548554902,548554883,548554891,2638377887,,,
548554891,548554902,564824656,564824231,,,
550130387,550125614,550130327,1002918799,,,
550125614,550130387,1002918810,550125627,,,
550130327,1002918966,550125643,550130387,,,
1002918966,550130327,550130344,,,,
550130344,1002918799,550130514,1002918966,,,
1002918799,550130344,550130387,,,,
550130514,550130344,550130527,,,,
550125634,550139024,550331062,550125643,550125627,,
550139024,550125634,550125643,550139050,,,
550125643,550139024,550130327,550125634,,,
550141471,4348059677,,,,,
4348059677,550141471,550141431,,,,
364855982,279012695,550196921,550196935,,,
279012695,364855982,1732775752,3147642952,,,
550179531,550202535,550202413,550187766,,,
550202535,550179531,550202413,550179524,,,
282539386,550187677,28814383,,,,
550187677,282539386,28814385,1182964361,,,
550196755,550196837,550187766,550179524,,,
550196837,550196755,760297478,,,,
2905535053,28814385,1153191044,,,,
1182964361,550187677,1153191044,760423233,,,
550196921,364855982,1153191024,550196935,,,
550196935,364855982,1153191044,550196921,,,
550202413,2926440640,550202535,550179531,,,
2926440640,550202413,2926440641,,,,
550331062,550125634,,,,,
559534170,4865618565,,,,,
4865618565,559534170,559534178,4865618574,,,
559534178,4865618565,3166512788,2101612941,,,
2101612930,1853820333,558992733,,,,
1853820333,2101612930,1853820348,,,,
558992763,559534155,1853820348,,,,
559534155,558992763,559534164,,,,
559534166,4865618574,559534164,,,,
4865618574,559534166,559534169,4865618565,,,
559534169,4865618574,,,,,
559534164,559534166,559534155,,,,
717695153,484256838,1440334022,717695144,,,
484256838,717695153,484211732,559547131,,,
559547112,559547131,484256866,364853762,,,
559547144,564824158,564824231,2638377887,,,
564824158,559547144,564824115,564824656,,,
1446139911,528184298,532246781,742924187,2914200385,,
560063708,560377253,560063713,,,,
560377253,560063708,28809611,,,,
560063713,560063708,560063710,,,,
537528670,446215730,533297356,537528672,,,
563895355,518860030,1211544217,1741249531,,,
564123934,564123951,564123972,564123986,569645024,,
564123951,564123934,539380299,539378286,,,
564123972,564123934,3688282762,569645031,,,
564123986,564123934,922304946,539378256,,,
564137064,539384067,1371072387,,,,
564161954,486098009,437385379,,,,
437385379,564161954,2160558771,,,,
437385376,2160558771,724391655,564917272,,,
2160558771,437385376,437385379,,,,
564163527,564163546,564178269,2164964483,,,
564163546,564163527,564178269,528691353,,,
564178269,564163546,282539370,564163527,,,
564209398,486098009,,,,,
1866829416,1866829396,1866829382,1866829560,,,
1866829396,1866829416,1866829341,1866829473,,,
1866829341,1866829396,529888776,1866829406,,,
529888776,1866829341,446215673,529385883,,,
1489332757,1866829539,,,,,
1866829539,1489332757,1866829479,1094480103,,,
1866829479,1866829539,564797873,1866829566,,,
564797873,1866829479,446215675,1866829388,,,
564824231,559547144,548554891,,,,
564824297,564824376,564824656,564824454,,,
564824376,564824297,564824387,564824454,,,
564824387,564824376,564824529,,,,
564824454,564824376,564824297,364857299,,,
564824529,564824387,,,,,
564824656,564824297,564824158,548554891,,,
364857299,564824454,725126903,,,,
564917272,564917277,885252576,437385376,,,
564917277,564917272,,,,,
4348061970,537528680,565591345,,,,
537528680,4348061970,581936056,566301975,,,
565592112,2986406697,512546981,282868881,,,
2986406697,565592112,2986406698,,,,
565592115,565592114,565592116,1026320884,,,
565592114,565592115,565592116,1026320856,,,
566301980,2897416739,572128020,567102705,567102620,,
2897416739,566301980,566301975,,,,
564142586,564142809,564142779,1332589856,,,
2915609261,564142809,528171632,,,,
567990130,567990167,4203255979,529931922,,,
567990167,567990130,3206610055,,,,
472469588,472469592,472469587,,,,
472469592,472469588,799285863,579809278,,,
799285863,472469592,4527790026,799285856,,,
4527790026,799285863,4527723044,4527723032,4527790031,,
4527723044,4527790026,472469624,4527723031,,,
472469624,4527723044,1478860202,472469622,,,
568020910,518878502,2914200360,518878478,,,
518878502,568020910,518878523,,,,
569645024,564123934,2086890256,,,,
569645048,1594374871,1515177306,255904863,,,
1594374871,569645048,569645031,1594374867,,,
569645031,1594374871,564123972,539378286,,,
747813009,569659130,747813025,,,,
569659130,747813009,514359994,569659203,,,
282539326,569664850,618744394,618839994,,,
569664850,282539326,569664982,618744394,,,
282539310,4397711903,1837262964,,,,
4397711903,282539310,364855598,4397711873,,,
569664982,569664983,569664850,736524989,,,
569664983,569664982,691817099,691817150,,,
582047610,572128020,567102705,582047617,,,
572128020,582047610,566301980,,,,
255904997,1127673820,1127673870,1727516311,,,
1127673820,255904997,1038593046,1127673677,,,
1038593046,1127673820,1127673903,1038593112,,,
1127673903,1038593046,1127673744,1127673893,,,
1127673744,1127673903,1787008720,1127673886,,,
1787008720,1127673744,1127673891,1727516064,,,
1127673891,1787008720,1127673685,1127673836,1727516064,,
1127673685,1127673891,528159387,1127673836,,,
579809278,472469592,,,,,
2914200238,296594913,471928333,,,,
282539287,309380341,282539286,539384075,1989256514,,
579942000,579927601,471928333,579927600,,,
579927601,579942000,528171615,,,,
309380359,579927590,471928333,1470547625,,,
579942008,579927600,579927590,,,,
579927600,579942008,579942000,,,,
528171615,579951359,1059703772,579927601,,,
579951359,528171615,579951358,,,,
468770136,581925554,2947683704,429873151,,,
581925554,468770136,581925561,581925595,,,
581925561,581925554,581925595,1402184336,,,
581925595,581925554,581925561,512025020,,,
581939504,581939505,1404553271,1838444157,,,
581939505,581939504,,,,,
581942020,517712288,581942017,,,,
567102705,582047610,572123522,566301980,,,
572123522,567102705,565591345,,,,
2947683704,468770136,28818081,,,,
507399308,512025044,582086142,507399300,,,
1402184336,581925561,1402184227,,,,
582086142,507399300,507399308,3347647271,,,
583820879,469479982,583820818,,,,
583820814,583820867,409717376,583820865,469479980,,
583820867,583820814,583820815,,,,
512439003,583820822,28809604,1094368110,,,
583820822,512439003,583820865,,,,
5000789721,256219092,256219067,,,,
256219092,5000789721,1487130591,,,,
583846977,513620773,256219067,,,,
469479980,28818094,583820814,,,,
583820816,409717371,1094368110,583820815,,,
3077304608,28809604,506704506,,,,
1094368110,583820816,1094367907,512439003,,,
546271668,513620781,618279301,,,,
506701999,507247758,506701995,,,,
587741396,1482116031,2948986139,2152881271,,,
1482116031,587741396,587741398,1482115461,,,
587741398,1482116031,2615322293,,,,
587763788,587741399,587763794,587789055,,,
587741399,587763788,2615322284,2615322293,,,
2615322284,587741399,2615322293,587763778,,,
587763778,587763783,2615322284,,,,
587763783,587763778,587763777,,,,
587763777,587763783,,,,,
587763794,587763788,,,,,
587789055,587789060,587789053,587763788,,,
587789060,587789055,,,,,
593876393,593876392,1713858737,2396085353,,,
